,Ctrl.AS3.J1,Ctrl.AS3.J2,Ctrl.AS3.J3,Ctrl.AS3.J4,Ctrl.AS3.J5,Ctrl.BS.J1,Ctrl.BS.J2,Ctrl.BS.J3,Ctrl.BS.J4,Ctrl.BS.J5,Ctrl.P1.J1,Ctrl.P1.J2,Ctrl.P1.J3,Ctrl.P1.J4,Ctrl.P1.J5,DBP.AS1.J1,DBP.AS1.J2,DBP.AS1.J3,DBP.AS1.J4,DBP.AS1.J5,DBP.BS.J1,DBP.BS.J2,DBP.BS.J3,DBP.BS.J4,DBP.BS.J5,DBP.P1.J1,DBP.P1.J2,DBP.P1.J3,DBP.P1.J4,DBP.P1.J5,TBAC.AS3.J1,TBAC.AS3.J2,TBAC.AS3.J3,TBAC.AS3.J4,TBAC.AS3.J5,TBAC.BS.J1,TBAC.BS.J2,TBAC.BS.J3,TBAC.BS.J4,TBAC.BS.J5,TBAC.P3.J1,TBAC.P3.J2,TBAC.P3.J3,TBAC.P3.J4,TBAC.P3.J5,TEC.AS3.J1,TEC.AS3.J2,TEC.AS3.J3,TEC.AS3.J4,TEC.AS3.J5,TEC.BS.J1,TEC.BS.J2,TEC.BS.J3,TEC.BS.J4,TEC.BS.J5,TEC.P3.J1,TEC.P3.J2,TEC.P3.J3,TEC.P3.J4,TEC.P3.J5
Otu1,979,1695,1277,219,544,257,1115,873,5420,1218,1,2,0,5,1,551,1233,2439,4034,5726,2166,4469,4701,4948,1678,2,0,1,1,2,1423,1833,1009,608,2842,2103,687,1461,971,851,2,0,0,2,0,128,1122,1158,3291,3511,3376,3821,5427,2853,4559,0,8,3,1,8
Otu10,125,73,44,76,32,41,25,62,183,45,74,66,47,234,24,173,53,188,311,1758,363,171,122,148,287,11,57,32,68,28,104,92,50,69,71,31,54,48,13,19,39,63,52,74,63,323,126,36,378,238,217,173,200,173,134,49,127,69,123,79
Otu100,15,38,102,462,106,56,7,12,135,19,6,1,0,13,3,71,9,9,20,297,42,9,7,3,18,2,11,8,14,13,80,178,81,69,114,22,110,22,14,62,8,2,16,5,6,89,235,31,30,18,15,9,15,11,6,13,29,40,18,18
Otu1000,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Otu1001,5,5,1,3,5,0,1,4,2,5,2,1,0,1,2,96,1,5,7,9,5,1,1,1,2,73,1,8,0,9,4,5,3,8,1,2,3,2,0,4,2,3,0,0,3,1,2,0,3,3,3,2,0,0,1,0,1,1,1,0
Otu1002,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,2,1,0,1,3,1,0,1,1,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0
Otu1003,0,0,3,5,2,0,0,2,3,0,0,0,1,0,0,0,1,0,0,5,0,1,0,0,3,0,0,0,0,1,4,7,1,7,3,2,2,3,2,3,0,0,0,0,0,3,2,2,4,1,1,1,0,1,0,0,0,1,0,0
Otu1004,1,1,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu1005,0,0,0,0,0,1,1,1,0,8,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Otu1006,0,6,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,1,0,2,3,0,4,0,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Otu1007,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0
Otu1008,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,2,0,1,0,2,6,2,7,3,2,0,0,0,0,0,1,4,9,4,0
Otu1010,0,3,1,2,0,2,1,1,7,6,0,0,0,1,1,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,1,0,0
Otu1011,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,2,3,2,14,5,4,0,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Otu1012,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Otu1013,4,36,1,7,35,12,0,3,11,1,753,90,222,39,98,16,11,14,21,85,24,3,4,3,49,14,24,24,26,31,34,10,13,15,19,4,3,3,1,6,29,65,23,23,39,0,3,5,19,5,4,6,0,7,6,2,19,12,12,6
Otu1014,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,2,0,0,2,0,1,0,0,0,2,9,14,2,9
Otu1015,0,0,3,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,27,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0
