,Ctrl.AS3.J1,Ctrl.AS3.J2,Ctrl.AS3.J3,Ctrl.AS3.J4,Ctrl.AS3.J5,Ctrl.BS.J1,Ctrl.BS.J2,Ctrl.BS.J3,Ctrl.BS.J4,Ctrl.BS.J5,Ctrl.P3.J1,Ctrl.P3.J2,Ctrl.P3.J3,Ctrl.P3.J4,Ctrl.P3.J5,DBP.AS3.J1,DBP.AS3.J2,DBP.AS3.J3,DBP.AS3.J4,DBP.AS3.J5,DBP.BS.J1,DBP.BS.J2,DBP.BS.J3,DBP.BS.J4,DBP.BS.J5,DBP.P3.J1,DBP.P3.J2,DBP.P3.J3,DBP.P3.J4,DBP.P3.J5,TBAC.AS3.J1,TBAC.AS3.J2,TBAC.AS3.J3,TBAC.AS3.J4,TBAC.AS3.J5,TBAC.BS.J1,TBAC.BS.J2,TBAC.BS.J3,TBAC.BS.J4,TBAC.BS.J5,TBAC.P3.J1,TBAC.P3.J2,TBAC.P3.J3,TBAC.P3.J4,TBAC.P3.J5,TEC.AS1.J1,TEC.AS1.J2,TEC.AS1.J3,TEC.AS1.J4,TEC.AS1.J5,TEC.BS.J1,TEC.BS.J2,TEC.BS.J3,TEC.BS.J4,TEC.BS.J5,TEC.P1.J1,TEC.P1.J2,TEC.P1.J3,TEC.P1.J4,TEC.P1.J5
Otu1,1979,4504,4955,7385,3709,1761,3365,2437,2596,1371,4783,10038,25041,18401,11777,339,28018,5831,16008,10573,3520,4056,1599,4685,9292,13171,27482,38716,17447,21634,12266,2746,16273,17383,4934,5132,3929,8936,1730,3503,18390,19117,23290,20476,24753,12888,4381,1257,4630,5744,4849,5447,5939,3565,5636,27650,36629,25430,28947,20067
Otu10,3,65,56,28,70,596,169,391,101,172,6,2,4,17,8,8,81,25,33,110,188,194,1,197,1483,11,0,1,2,0,28,46,59,49,76,667,137,184,110,173,0,4,4,1,11,178,27,55,115,68,504,207,280,187,322,2,2,4,0,3
Otu100,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Otu101,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0
Otu102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Otu103,0,6,7,3,1,0,4,2,2,2,1,0,2,3,0,0,4,2,0,4,0,15,0,0,14,0,2,1,3,0,6,1,3,1,6,2,13,0,0,2,2,0,1,0,0,0,0,0,0,3,0,18,22,0,0,3,3,0,0,0
Otu104,0,0,24,2,0,1,4,0,0,0,0,0,0,0,0,0,1,32,135,0,0,0,0,11,1,2,1,0,0,0,0,0,2,0,0,0,0,13,0,11,0,0,0,0,1,1,1,0,0,0,4,0,6,0,0,0,0,1,0,0
Otu105,2,1320,196,158,28,35,67,46,78,28,98,3187,1012,641,17,4,1102,206,625,66,118,132,0,141,125,22,228,288,42,55,141,14,194,286,93,120,114,194,69,94,40,13,54,278,251,15,35,12,41,64,132,141,200,139,269,25,31,13,69,10
Otu106,212,322,645,202,207,213,834,528,389,360,6,1,16,30,10,14,3933,770,1814,255,623,1909,1101,1072,1512,45,24,5,23,22,564,83,930,557,243,852,292,1363,296,451,15,11,21,4,19,542,640,271,415,499,1893,1941,1729,1344,1310,3,5,8,2,2
Otu107,0,0,0,0,0,5,2,1,0,1,0,0,0,1,0,0,25,10,0,7,0,4,0,0,0,0,0,0,0,0,2,0,0,1,10,0,17,31,0,8,2,1,0,0,1,0,128,0,12,0,4,0,3,1,3,0,0,0,0,0
