,Ctrl.AS3.J1,Ctrl.AS3.J2,Ctrl.AS3.J3,Ctrl.AS3.J4,Ctrl.AS3.J5,Ctrl.BS.J1,Ctrl.BS.J2,Ctrl.BS.J3,Ctrl.BS.J4,Ctrl.BS.J5,Ctrl.P1.J1,Ctrl.P1.J2,Ctrl.P1.J3,Ctrl.P1.J4,Ctrl.P1.J5,DBP.AS1.J1,DBP.AS1.J2,DBP.AS1.J3,DBP.AS1.J4,DBP.AS1.J5,DBP.BS.J1,DBP.BS.J2,DBP.BS.J3,DBP.BS.J4,DBP.BS.J5,DBP.P1.J1,DBP.P1.J2,DBP.P1.J3,DBP.P1.J4,DBP.P1.J5,TBAC.AS3.J1,TBAC.AS3.J2,TBAC.AS3.J3,TBAC.AS3.J4,TBAC.AS3.J5,TBAC.BS.J1,TBAC.BS.J2,TBAC.BS.J3,TBAC.BS.J4,TBAC.BS.J5,TBAC.P3.J1,TBAC.P3.J2,TBAC.P3.J3,TBAC.P3.J4,TBAC.P3.J5,TEC.AS3.J1,TEC.AS3.J2,TEC.AS3.J3,TEC.AS3.J4,TEC.AS3.J5,TEC.BS.J1,TEC.BS.J2,TEC.BS.J3,TEC.BS.J4,TEC.BS.J5,TEC.P3.J1,TEC.P3.J2,TEC.P3.J3,TEC.P3.J4,TEC.P3.J5
Ctrl.AS3.J1,0,0.139596193,0.153897142,0.294618428,0.201733068,0.302772404,0.217109351,0.161409022,0.171431076,0.220889907,0.384005262,0.395715448,0.394965415,0.336496166,0.371762649,0.213730858,0.135984575,0.092881106,0.102411652,0.182788967,0.12395264,0.18574919,0.204052617,0.209347902,0.151286592,0.412201562,0.302764191,0.297491956,0.302591199,0.304859987,0.22332912,0.212327066,0.17556848,0.184786705,0.175548788,0.20083912,0.183798875,0.176866572,0.188481416,0.17413935,0.31113025,0.315928388,0.323421808,0.3247684,0.329240264,0.265024712,0.206856264,0.221848256,0.099342579,0.161952473,0.106974905,0.170482027,0.185472151,0.145992828,0.240395946,0.302023119,0.367057247,0.333599793,0.292258741,0.306297851
Ctrl.AS3.J2,0.139596193,0,0.155499698,0.293171355,0.161324432,0.282513333,0.15555738,0.17972651,0.107882562,0.166981966,0.393562362,0.382562897,0.413917362,0.342933996,0.36378461,0.23660908,0.120263364,0.10961469,0.106318139,0.22860744,0.183929935,0.145478781,0.159566971,0.155464662,0.178802163,0.37954155,0.335477195,0.309722919,0.341174669,0.324299068,0.211422356,0.204612971,0.134355297,0.170674659,0.120282324,0.137335026,0.172337349,0.125150058,0.142666719,0.154961165,0.326387463,0.335389644,0.358590087,0.319197226,0.31971588,0.301196078,0.207250021,0.2275881,0.124322687,0.112007541,0.105276549,0.132673253,0.137260323,0.121372072,0.183600249,0.336409414,0.355685524,0.332239406,0.316497658,0.32365578
Ctrl.AS3.J3,0.153897142,0.155499698,0,0.214990379,0.179711246,0.280279792,0.200751864,0.176957959,0.185256784,0.210255958,0.460313307,0.441777194,0.474746611,0.396169605,0.423798243,0.214493069,0.139062524,0.182889715,0.188612745,0.190465531,0.140384662,0.222762018,0.224933319,0.239386151,0.151102508,0.43252881,0.370225519,0.349439759,0.375845145,0.374370945,0.192679546,0.182326626,0.16967523,0.164071729,0.17754373,0.213895629,0.137325197,0.192638086,0.179891969,0.144640621,0.364472146,0.376641932,0.385886836,0.349572233,0.362905553,0.246822781,0.161915614,0.195240547,0.163369294,0.197325394,0.157668604,0.203992729,0.21691608,0.160016605,0.269382919,0.356401425,0.370624044,0.344341499,0.347364482,0.356512961
Ctrl.AS3.J4,0.294618428,0.293171355,0.214990379,0,0.197527257,0.242252513,0.262122484,0.234879488,0.319390627,0.258442356,0.505345793,0.491478729,0.52039392,0.449375199,0.470881224,0.252841652,0.245853792,0.32554272,0.328452133,0.192498625,0.230740325,0.356438975,0.339510268,0.36895376,0.215024941,0.472367578,0.361839902,0.373598114,0.359672345,0.399250017,0.21657415,0.205748764,0.248188456,0.207576184,0.26861107,0.327398961,0.211763057,0.313582249,0.264725627,0.222819461,0.363373663,0.373410028,0.367557987,0.376566493,0.396906586,0.239422287,0.210192441,0.225777233,0.28062742,0.331457086,0.306618027,0.333232744,0.3469833,0.269257655,0.395261533,0.358423473,0.322414429,0.325987299,0.389698575,0.401860958
Ctrl.AS3.J5,0.201733068,0.161324432,0.179711246,0.197527257,0,0.217250418,0.134516186,0.154742294,0.188098439,0.126199417,0.446335066,0.440918794,0.467246446,0.408805683,0.416168761,0.255571352,0.156252625,0.211735029,0.214928278,0.193594639,0.206377933,0.231177172,0.224909943,0.238254143,0.173581249,0.414397313,0.315526687,0.323701973,0.308063569,0.342607497,0.11743109,0.113348031,0.114547403,0.102875674,0.133233396,0.201245824,0.134913233,0.184441786,0.142082832,0.130370479,0.315941612,0.326127324,0.334412859,0.336322226,0.356379451,0.292560398,0.140688602,0.149859348,0.16439786,0.200559876,0.209256025,0.210829946,0.220123742,0.151654797,0.261733305,0.32145197,0.297266387,0.289432444,0.349839965,0.357211014
Ctrl.BS.J1,0.302772404,0.282513333,0.280279792,0.242252513,0.217250418,0,0.247055563,0.197694951,0.303890541,0.234919926,0.465037915,0.469767242,0.49825731,0.446980345,0.449314373,0.279954163,0.278325549,0.319568803,0.322064011,0.224178547,0.266697366,0.343558013,0.35392013,0.363441503,0.235535204,0.461112877,0.337478993,0.359868984,0.314960271,0.370322302,0.206595779,0.226071004,0.253401789,0.196143952,0.283271234,0.336703099,0.238143567,0.306300194,0.2690062,0.248565909,0.354795163,0.359637812,0.356779625,0.367461211,0.38658868,0.332588906,0.232787867,0.23791938,0.283596818,0.320346986,0.307912832,0.32762041,0.345364915,0.26923799,0.384695017,0.343102216,0.301833153,0.315664609,0.375547094,0.389595822
Ctrl.BS.J2,0.217109351,0.15555738,0.200751864,0.262122484,0.134516186,0.247055563,0,0.160637265,0.13162981,0.065626699,0.459995596,0.446472567,0.479880481,0.429881675,0.420187158,0.289306056,0.166709063,0.204113205,0.187168024,0.250623016,0.231052436,0.176072035,0.187952719,0.189265844,0.203891597,0.424065801,0.3405818,0.343779432,0.336080086,0.350098159,0.179704493,0.153228948,0.100751116,0.167081621,0.116082361,0.138100771,0.130691673,0.119209523,0.076154963,0.105621328,0.348771529,0.355184636,0.362400647,0.337243369,0.371346587,0.351952569,0.200439801,0.199974496,0.197820532,0.190109686,0.181828613,0.168769671,0.168412508,0.130375294,0.208197468,0.356950994,0.349807484,0.335556224,0.377572369,0.384868176
Ctrl.BS.J3,0.161409022,0.17972651,0.176957959,0.234879488,0.154742294,0.197694951,0.160637265,0,0.207441174,0.163081391,0.406662593,0.416496354,0.429684,0.368001228,0.385689333,0.208924335,0.180455056,0.184750324,0.169198602,0.140256514,0.131364798,0.232262869,0.258467777,0.267961129,0.113285743,0.420961936,0.282609195,0.291900815,0.279567225,0.298253496,0.183167993,0.18933529,0.163951676,0.136057443,0.200163201,0.241599405,0.135687528,0.209332444,0.182071405,0.147134098,0.287837556,0.294538334,0.304225328,0.315058455,0.336085023,0.255310738,0.178277045,0.207597459,0.143820476,0.227420226,0.156893328,0.220503644,0.241747755,0.166739391,0.292328356,0.288426618,0.33014745,0.301289352,0.313370481,0.326898491
Ctrl.BS.J4,0.171431076,0.107882562,0.185256784,0.319390627,0.188098439,0.303890541,0.13162981,0.207441174,0,0.124996941,0.436695884,0.417753235,0.449742153,0.390003223,0.39878711,0.28404219,0.137538331,0.148330864,0.143067507,0.278217129,0.222100104,0.091321368,0.095233133,0.092280156,0.211970339,0.412217647,0.370042957,0.349185535,0.373703731,0.36020211,0.218867449,0.198006593,0.135148894,0.197944262,0.101557099,0.065020446,0.173472455,0.050430737,0.101480487,0.150731847,0.365966085,0.376070073,0.395919566,0.350898666,0.360722069,0.35264822,0.228937593,0.238883957,0.163683793,0.10770061,0.123030436,0.081005636,0.073759154,0.111965266,0.114278242,0.376398673,0.390654029,0.366716154,0.366993668,0.373441855
Ctrl.BS.J5,0.220889907,0.166981966,0.210255958,0.258442356,0.126199417,0.234919926,0.065626699,0.163081391,0.124996941,0,0.468684954,0.452267997,0.485712375,0.436717578,0.42863397,0.300057002,0.172244268,0.207174935,0.203686416,0.248602449,0.235342049,0.177210396,0.173396155,0.177730275,0.205349916,0.44356894,0.337869185,0.35119919,0.329448032,0.362165016,0.16705135,0.143805238,0.116679676,0.151276129,0.117065299,0.136174833,0.147315558,0.118814014,0.083714758,0.122653258,0.351727597,0.352787482,0.358022583,0.348254373,0.378888014,0.349436467,0.18923424,0.194883896,0.195377593,0.183133181,0.181956271,0.164747396,0.163715748,0.124768316,0.194771304,0.357309532,0.337653538,0.325591463,0.383716811,0.386631625
